East,North,Level,Au_ppm,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au
11355.961,5366.114,1408.659,0.006,0.43,8.57,5.03,126.04,1.07,0.45,4.02,0.34,50.81,11.64,45.77,5.81,384.9,6.2,20.86,0.07,0.43,0.92,20.48,2.32,815.37,2.24,1.74,6.67,16.37,911.11,5.61,50.08,0.001,1.53,0.21,24.09,1.0,2.41,383.74,0.39,0.115,5.16,0.49,0.75,0.79,160.86,5.45,22.37,102.05,12.64,0
12101.296,5681.129,1419.069,0.0025,0.534,8.86,49.61,351.13,1.2,1.0,3.35,1.77,36.82,12.1,10.1,1.62,67.15,4.62,19.92,0.05,0.61,1.51,15.76,1.0,819.06,0.41,2.11,5.13,3.25,726.4,17.83,84.43,0.001,2.48,1.59,19.12,1.0,5.11,386.34,0.38,0.305,3.84,0.43,1.06,1.08,132.62,3.06,21.25,236.42,17.17,0
11971.046,5960.377,1509.829,0.005,0.233,8.91,5.3,453.11,1.08,1.18,1.08,0.27,28.85,16.74,14.42,12.84,22.66,5.11,17.16,0.08,0.57,2.03,13.06,1.29,685.72,1.09,1.06,4.27,6.08,523.9,9.75,120.2,0.001,0.1,1.52,20.19,1.86,4.6,200.81,0.33,0.452,4.11,0.46,1.59,1.08,150.54,0.78,14.87,134.38,23.98,0
11747.495,5863.982,1459.979,0.17,5.297,8.61,2011.59,734.87,0.55,7.29,0.05,0.05,28.76,0.38,17.0,1.69,18.28,1.76,23.21,0.025,0.5,3.93,13.75,0.57,33.8,2.84,0.12,5.03,1.27,63.9,55.03,149.37,0.001,0.1,15.68,18.58,1.01,8.48,20.79,0.36,0.815,3.75,0.31,1.16,0.8,104.46,5.88,3.76,9.53,19.54,1
7169.087,5272.533,1387.149,0.005,0.076,4.85,15.52,678.61,1.77,0.15,0.32,0.05,49.06,0.37,28.62,2.94,2.86,1.06,12.28,0.05,2.49,2.03,25.13,0.06,183.21,1.5,2.12,6.5,1.01,93.87,8.4,91.0,0.001,0.02,2.33,2.01,0.5,2.69,178.57,0.93,0.025,14.86,0.03,0.79,4.93,1.01,1.32,17.42,18.35,60.83,0
7166.81,5271.386,1387.149,0.0025,0.216,6.17,30.29,136.0,0.83,0.05,1.58,0.14,23.98,10.8,25.9,12.57,5.5,3.63,16.95,0.05,1.23,2.22,11.33,1.73,1075.19,0.25,0.04,4.0,9.93,549.57,6.81,178.95,0.001,0.01,23.32,14.21,0.5,0.71,47.57,0.3,0.025,2.29,0.31,1.28,0.55,119.38,3.91,12.22,76.81,68.72,0
7181.995,5262.575,1387.149,0.006,0.689,2.81,41.9,70.31,0.35,0.05,4.45,0.13,11.86,4.66,17.41,2.64,20.68,2.24,6.13,0.025,0.93,0.93,5.41,0.83,879.92,0.24,0.02,2.43,4.4,299.64,12.19,74.32,0.001,0.005,9.98,5.53,0.5,0.43,38.69,0.13,0.025,1.33,0.16,0.52,0.42,42.21,1.8,5.05,57.85,22.71,0
7193.381,5264.183,1387.149,0.0025,2.625,3.69,12.51,466.57,0.35,0.05,1.45,0.65,13.62,5.33,18.16,3.81,150.35,2.01,6.81,0.025,0.64,2.06,6.23,0.74,894.44,0.22,0.05,2.08,3.63,331.32,35.1,96.56,0.001,0.01,12.3,6.86,0.5,0.39,38.27,0.13,0.056,1.39,0.16,0.98,0.32,51.14,1.95,5.73,143.1,17.22,0
7236.054,5250.356,1354.429,0.0025,0.086,6.19,29.35,328.44,2.08,0.09,0.2,0.07,51.33,0.42,15.35,3.35,8.15,1.01,12.86,0.05,2.59,1.55,24.94,0.09,203.3,0.76,3.0,7.75,0.94,48.79,10.2,85.46,0.001,0.01,3.29,2.26,0.5,2.26,205.39,0.92,0.025,19.23,0.04,0.7,5.63,1.04,0.86,14.4,22.81,76.83,0
7221.856,5251.294,1354.429,0.005,0.526,3.35,9.54,267.0,0.65,0.05,0.4,0.18,18.33,6.75,24.99,5.46,15.7,2.54,8.51,0.025,1.14,1.3,8.62,0.69,948.36,0.29,0.11,2.59,5.32,376.88,14.78,87.43,0.001,0.01,19.67,7.74,0.5,0.46,28.44,0.17,0.025,1.75,0.17,0.92,0.51,53.98,1.14,7.28,63.39,38.08,0
